Element ID;Cost;Flamability;Classification of Flammability;Count;Auto-ignition Temperature;Weight;Description;Diameter;Family;Family and Type;Finish;Internal Current;Voltage;W;Waste Connection NPT;Width;URL
977415;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977417;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977419;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977421;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977423;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977425;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977507;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
981963;;;;1;;;;;Seat - Single with Island;Seat - Single with Island: Model with Island;;;;;;;
982762;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600;;;;;;;
983030;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600 2;;;;;;;
983156;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600;;;;;;;
983164;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600;;;;;;;
983236;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600;;;;;;;
983306;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600 2;;;;;;;
983388;;;;1;;;;;Sofa - Ottoman;Sofa - Ottoman: W600XD600;;;;;;;
984486;;;;1;;;;;Cabinet 1;Cabinet 1: W1500XD400XH530;;;;;;;
985756;;;;1;;;;;M_TV - Flat Screen;M_TV - Flat Screen: 0810mm;;;;;;;
986988;;;;1;;;;;Vase (3)-with Flower;Vase (3)-with Flower: Vase (3)-with Flower;;;;;;;
987054;;;;1;;;;;Side Table 2 (2);Side Table 2 (2): Side Table 2 (2);;;;;;;
987167;;;;1;;;;;Side Table 2 (2);Side Table 2 (2): Side Table 2 (2);;;;;;;
988128;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
988396;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
988459;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
988462;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
988603;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
988640;;;;1;;;;;Bar Chair;Bar Chair: Bar Chair;;;;;;;
989344;;;;1;;;;;Table-Dining 01 (M);Table-Dining 01 (M): 1800 x 900 mm;;;;;;;
989521;;;;1;;;;;Table-Dining 01 (M);Table-Dining 01 (M): 1800 x 900 mm;;;;;;;
990317;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990596;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990620;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990621;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990645;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990646;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
990647;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
